name,name_prefix,name_first,name_middle,name_last,name_suffix,nickname,office_status,office_state,office_name,office_title,party,bio,image,district,endorsements,occupation,education,gender,race,ethnicity,date_of_birth,date_of_death,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,email_official,email_district,email_campaign,email_other,contact_form_url,address_official,address_district,address_campaign,phone_official,phone_district,phone_campaign,fax_official,fax_district,fax_campaign,website_official,website_district,website_campaign,website_personal,x_official,x_campaign,x_personal,facebook_official,facebook_campaign,facebook_personal,instagram_official,instagram_campaign,instagram_personal,youtube_official,youtube_campaign,youtube_personal,linkedin,gab,rumble,wikipedia,opensecrets_id,ballotpedia_id,openstates_id,fec_id
Maria Lazar,,Maria,S.,Lazar,,,,,,,,,https://law.marquette.edu/sites/default/files/styles/event_image/public/Maria%20Lazar%20headshot.jpg?itok=78qqFyAr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Taylor,,Chris,Lyn,Taylor,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/Justice_Chris_Taylor_2026_portrait_%28cropped%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
